invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,date,time,payment_method,cogs,gross_margin_pct,gross_income,rating
INV-BBFE9B1C,C,Chicago,Member,Male,Sports and travel,86.88,4,17.38,364.9,2024-03-12,11:43,Ewallet,243.26,33.34,121.64,9.4
INV-90930EF8,A,New York,Normal,Male,Electronic accessories,32.33,4,6.47,135.79,2024-09-15,19:01,Ewallet,90.52,33.34,45.27,5.2
INV-3FF0D910,C,Chicago,Normal,Male,Health and beauty,50.43,1,2.52,52.95,2024-03-22,16:21,Credit card,35.3,33.33,17.65,4.9
INV-164B3037,B,Los Angeles,Member,Male,Health and beauty,14.96,6,4.49,94.25,2024-11-05,14:51,Cash,62.83,33.34,31.42,8.4
INV-5071DD66,C,Chicago,Member,Female,Electronic accessories,117.13,10,58.56,1229.86,2024-07-04,19:12,Ewallet,819.91,33.33,409.95,4.4
INV-50A8E153,C,Chicago,Member,Female,Electronic accessories,173.23,2,17.32,363.78,2024-07-13,14:29,Ewallet,242.52,33.33,121.26,9.0
INV-BCBE03CA,A,New York,Normal,Female,Fashion accessories,103.82,2,10.38,218.02,2024-11-07,20:10,Ewallet,145.35,33.33,72.67,8.4
INV-4A5B9F7F,A,New York,Normal,Female,Food and beverages,49.53,9,22.29,468.06,2024-04-22,20:20,Cash,312.04,33.33,156.02,5.4
INV-FE49CC39,A,New York,Normal,Female,Food and beverages,7.98,10,3.99,83.79,2024-06-10,13:41,Credit card,55.86,33.33,27.93,6.4
INV-59602789,C,Chicago,Normal,Male,Food and beverages,11.28,9,5.08,106.6,2024-10-02,14:47,Ewallet,71.06,33.34,35.54,6.6
INV-A93530C7,C,Chicago,Normal,Female,Fashion accessories,149.63,3,22.44,471.33,2024-09-17,17:05,Cash,314.22,33.33,157.11,9.2
INV-17E89D41,A,New York,Member,Female,Home and lifestyle,37.79,7,13.23,277.76,2024-11-01,17:33,Credit card,185.17,33.33,92.59,9.8
INV-DC2BDC33,A,New York,Member,Female,Sports and travel,101.54,5,25.39,533.09,2024-08-10,12:29,Cash,355.39,33.33,177.7,9.7
INV-285DF6B2,C,Chicago,Normal,Male,Home and lifestyle,275.54,5,68.89,1446.59,2024-11-23,18:38,Cash,964.39,33.33,482.2,4.9
INV-12D00D71,A,New York,Member,Female,Health and beauty,9.4,6,2.82,59.22,2024-06-06,13:03,Cash,39.48,33.33,19.74,9.3
INV-1C3FB43B,A,New York,Member,Female,Electronic accessories,195.93,9,88.17,1851.54,2024-03-05,12:42,Credit card,1234.36,33.33,617.18,9.7
INV-DF53EC70,A,New York,Normal,Female,Fashion accessories,140.05,4,28.01,588.21,2024-12-31,14:25,Ewallet,392.14,33.33,196.07,7.9
INV-891FFB87,B,Los Angeles,Normal,Male,Fashion accessories,41.46,6,12.44,261.2,2024-01-11,19:35,Cash,174.13,33.33,87.07,7.5
INV-806C9BEF,A,New York,Member,Male,Fashion accessories,19.44,1,0.97,20.41,2024-06-18,11:32,Cash,13.61,33.32,6.8,5.7
INV-85CFAB57,B,Los Angeles,Member,Male,Sports and travel,235.49,10,117.75,2472.65,2024-10-22,17:15,Credit card,1648.43,33.33,824.22,8.8
INV-DBAF4963,A,New York,Member,Male,Sports and travel,121.99,7,42.7,896.63,2024-07-29,17:55,Ewallet,597.75,33.33,298.88,4.3
INV-D055417D,C,Chicago,Member,Male,Health and beauty,60.43,2,6.04,126.9,2024-05-07,13:12,Ewallet,84.6,33.33,42.3,6.7
INV-223449BD,B,Los Angeles,Member,Female,Health and beauty,25.99,2,2.6,54.58,2024-08-14,18:06,Cash,36.39,33.33,18.19,7.9
INV-BC647A2F,C,Chicago,Member,Male,Fashion accessories,33.28,8,13.31,279.55,2024-09-03,13:55,Credit card,186.37,33.33,93.18,9.4
INV-52420E6C,A,New York,Normal,Male,Health and beauty,27.09,8,10.84,227.56,2024-05-26,16:44,Ewallet,151.7,33.34,75.86,10.0
INV-0D579A06,C,Chicago,Normal,Male,Fashion accessories,51.54,1,2.58,54.12,2024-10-23,18:03,Ewallet,36.08,33.33,18.04,5.9
INV-E8376FCC,A,New York,Normal,Male,Electronic accessories,192.74,2,19.27,404.75,2024-04-05,11:38,Cash,269.84,33.33,134.91,8.1
INV-0A14F582,A,New York,Normal,Male,Home and lifestyle,88.94,10,44.47,933.87,2024-01-21,19:05,Credit card,622.58,33.33,311.29,7.9
INV-441DC4C6,C,Chicago,Normal,Female,Fashion accessories,103.76,6,31.13,653.69,2024-05-02,14:25,Cash,435.79,33.33,217.9,8.0
INV-4BBD0203,B,Los Angeles,Normal,Female,Electronic accessories,16.72,10,8.36,175.56,2024-10-15,11:04,Ewallet,117.04,33.33,58.52,5.3
INV-12B7EFCF,B,Los Angeles,Member,Female,Electronic accessories,177.66,6,53.3,1119.26,2024-05-25,12:28,Ewallet,746.17,33.33,373.09,8.2
INV-99B8A050,C,Chicago,Member,Female,Sports and travel,48.31,3,7.25,152.18,2024-05-15,11:56,Cash,101.45,33.34,50.73,8.5
INV-B2B963FB,A,New York,Normal,Female,Home and lifestyle,78.98,6,23.69,497.57,2024-04-14,20:40,Credit card,331.72,33.33,165.85,7.0
INV-DBBC67CE,B,Los Angeles,Member,Male,Sports and travel,120.3,5,30.08,631.58,2024-01-23,10:21,Cash,421.05,33.33,210.53,7.8
INV-0FC5F8A2,B,Los Angeles,Member,Female,Home and lifestyle,217.59,9,97.92,2056.23,2024-01-05,11:04,Ewallet,1370.82,33.33,685.41,9.4
INV-87931E39,C,Chicago,Member,Female,Home and lifestyle,174.71,7,61.15,1284.12,2024-03-06,10:19,Credit card,856.08,33.33,428.04,9.4
INV-7F4A036B,A,New York,Normal,Male,Sports and travel,81.14,2,8.11,170.39,2024-06-30,18:56,Credit card,113.6,33.33,56.79,9.8
INV-2E98D813,C,Chicago,Member,Male,Fashion accessories,146.67,3,22.0,462.01,2024-07-30,10:11,Ewallet,308.01,33.33,154.0,9.5
INV-9EBFA00C,B,Los Angeles,Member,Female,Fashion accessories,120.23,2,12.02,252.48,2024-07-14,10:54,Credit card,168.32,33.33,84.16,5.3
INV-A11AC4F6,B,Los Angeles,Normal,Female,Fashion accessories,41.21,4,8.24,173.08,2024-07-23,15:17,Cash,115.39,33.33,57.69,9.8
INV-60D26E17,B,Los Angeles,Normal,Female,Sports and travel,245.76,9,110.59,2322.43,2024-06-18,10:07,Credit card,1548.29,33.33,774.14,5.1
INV-9682F0B5,B,Los Angeles,Member,Male,Home and lifestyle,141.68,6,42.5,892.58,2024-08-11,19:32,Cash,595.06,33.33,297.52,6.3
INV-979921FC,C,Chicago,Member,Female,Electronic accessories,146.13,1,7.31,153.44,2024-09-23,18:43,Ewallet,102.29,33.34,51.15,9.6
INV-47E508B1,C,Chicago,Member,Female,Health and beauty,13.04,6,3.91,82.15,2024-11-15,15:42,Cash,54.77,33.33,27.38,8.3
INV-799A9DD3,B,Los Angeles,Normal,Female,Food and beverages,23.11,5,5.78,121.33,2024-10-10,12:12,Credit card,80.88,33.34,40.45,8.0
INV-0D96FA85,B,Los Angeles,Member,Female,Health and beauty,47.45,1,2.37,49.82,2024-06-04,14:13,Credit card,33.22,33.32,16.6,8.7
INV-F427B5A2,C,Chicago,Normal,Female,Health and beauty,39.84,4,7.97,167.33,2024-09-18,17:50,Ewallet,111.55,33.34,55.78,5.0
INV-C519E99B,A,New York,Normal,Female,Electronic accessories,166.41,4,33.28,698.92,2024-12-10,14:14,Cash,465.95,33.33,232.97,4.9
INV-9847FAED,A,New York,Member,Female,Home and lifestyle,257.93,2,25.79,541.65,2024-08-21,16:56,Ewallet,361.1,33.33,180.55,7.5
INV-1AD59018,C,Chicago,Normal,Female,Health and beauty,25.57,1,1.28,26.85,2024-02-24,16:14,Cash,17.9,33.33,8.95,8.8
INV-32D6B681,C,Chicago,Normal,Male,Home and lifestyle,89.78,2,8.98,188.54,2024-08-21,12:51,Credit card,125.69,33.34,62.85,8.0
INV-41FF3039,C,Chicago,Normal,Female,Home and lifestyle,248.2,9,111.69,2345.49,2024-08-06,18:28,Cash,1563.66,33.33,781.83,8.5
INV-46BD73F2,B,Los Angeles,Normal,Female,Fashion accessories,127.58,5,31.89,669.79,2024-09-23,17:40,Cash,446.53,33.33,223.26,5.6
INV-0BCF0A2D,A,New York,Normal,Male,Food and beverages,20.11,9,9.05,190.04,2024-02-11,12:09,Cash,126.69,33.34,63.35,6.3
INV-E7CFE9C1,A,New York,Member,Male,Health and beauty,37.35,9,16.81,352.96,2024-08-26,16:03,Cash,235.31,33.33,117.65,9.0
INV-7FCAF776,B,Los Angeles,Member,Female,Health and beauty,8.42,6,2.53,53.05,2024-06-01,16:54,Credit card,35.36,33.35,17.69,7.2
INV-CC8440E7,C,Chicago,Member,Female,Fashion accessories,48.21,8,19.28,404.96,2024-01-15,16:21,Ewallet,269.98,33.33,134.98,8.1
INV-EF3F557A,B,Los Angeles,Member,Female,Fashion accessories,147.3,9,66.29,1391.99,2024-01-14,16:37,Ewallet,927.99,33.33,464.0,8.0
INV-A7E9A0AF,A,New York,Normal,Male,Health and beauty,21.08,5,5.27,110.67,2024-07-13,15:13,Credit card,73.78,33.33,36.89,6.0
INV-A08CB464,B,Los Angeles,Normal,Female,Food and beverages,42.57,8,17.03,357.59,2024-01-10,18:03,Credit card,238.39,33.33,119.2,5.3
INV-91B20E45,A,New York,Member,Male,Fashion accessories,37.91,1,1.9,39.81,2024-11-14,12:15,Cash,26.54,33.33,13.27,6.8
INV-C9935338,A,New York,Member,Female,Sports and travel,82.65,6,24.8,520.7,2024-03-26,19:38,Ewallet,347.13,33.33,173.57,8.3
INV-796BF223,A,New York,Normal,Male,Home and lifestyle,27.19,5,6.8,142.75,2024-10-21,20:58,Credit card,95.17,33.33,47.58,6.4
INV-541EE776,C,Chicago,Member,Male,Home and lifestyle,213.37,4,42.67,896.15,2024-02-22,14:54,Ewallet,597.44,33.33,298.71,7.6
INV-30741A3D,A,New York,Member,Female,Home and lifestyle,139.95,6,41.98,881.68,2024-02-05,18:41,Credit card,587.79,33.33,293.89,4.1
INV-D35A694C,B,Los Angeles,Normal,Male,Health and beauty,77.18,8,30.87,648.31,2024-12-28,12:27,Cash,432.21,33.33,216.1,8.4
INV-ED652F21,C,Chicago,Normal,Female,Health and beauty,39.36,10,19.68,413.28,2024-05-17,15:54,Cash,275.52,33.33,137.76,9.0
INV-A850D000,A,New York,Normal,Female,Fashion accessories,115.07,10,57.53,1208.23,2024-11-08,20:24,Credit card,805.49,33.33,402.74,4.2
INV-805B6755,B,Los Angeles,Member,Female,Fashion accessories,59.68,5,14.92,313.32,2024-06-23,14:56,Ewallet,208.88,33.33,104.44,8.2
INV-8978AEBC,B,Los Angeles,Member,Male,Electronic accessories,59.65,7,20.88,438.43,2024-09-07,18:48,Cash,292.28,33.33,146.15,8.1
INV-0ADA0D34,C,Chicago,Normal,Female,Electronic accessories,32.21,4,6.44,135.28,2024-07-26,13:19,Ewallet,90.19,33.33,45.09,7.5
INV-F7D50D02,B,Los Angeles,Normal,Female,Sports and travel,148.84,6,44.65,937.69,2024-12-25,17:17,Credit card,625.13,33.33,312.56,5.5
INV-0A816893,A,New York,Member,Female,Electronic accessories,152.43,3,22.86,480.15,2024-04-08,13:47,Credit card,320.1,33.33,160.05,5.7
INV-6E94790E,C,Chicago,Normal,Male,Fashion accessories,51.47,6,15.44,324.26,2024-04-01,14:00,Ewallet,216.17,33.33,108.09,7.2
INV-9C5307A9,B,Los Angeles,Member,Male,Home and lifestyle,101.8,3,15.27,320.67,2024-11-22,17:06,Cash,213.78,33.33,106.89,7.4
INV-BA2142EA,B,Los Angeles,Normal,Female,Food and beverages,13.3,1,0.67,13.97,2024-05-09,17:07,Cash,9.31,33.36,4.66,6.4
INV-56CCB7BA,A,New York,Member,Male,Fashion accessories,123.56,5,30.89,648.69,2024-02-13,13:07,Ewallet,432.46,33.33,216.23,8.6
INV-8A42217D,C,Chicago,Member,Female,Health and beauty,73.41,5,18.35,385.4,2024-10-28,16:19,Ewallet,256.93,33.33,128.47,7.7
INV-3861A33C,C,Chicago,Member,Male,Sports and travel,72.48,2,7.25,152.21,2024-03-21,13:11,Ewallet,101.47,33.34,50.74,4.5
INV-7E0EFD17,A,New York,Normal,Female,Sports and travel,158.61,5,39.65,832.7,2024-01-17,13:18,Ewallet,555.13,33.33,277.57,5.7
INV-9F4BFA8F,B,Los Angeles,Member,Male,Food and beverages,40.45,10,20.23,424.73,2024-12-04,13:27,Cash,283.15,33.33,141.58,7.3
INV-82BFD380,C,Chicago,Member,Female,Fashion accessories,20.0,3,3.0,63.0,2024-06-06,19:47,Ewallet,42.0,33.33,21.0,9.5
INV-59A313BB,B,Los Angeles,Member,Female,Sports and travel,93.42,7,32.7,686.64,2024-05-19,18:34,Credit card,457.76,33.33,228.88,6.6
INV-0C8FB430,C,Chicago,Member,Female,Sports and travel,97.52,5,24.38,511.98,2024-01-14,11:14,Ewallet,341.32,33.33,170.66,9.0
INV-E1AAF0CC,C,Chicago,Member,Female,Home and lifestyle,31.26,3,4.69,98.47,2024-08-28,18:41,Credit card,65.65,33.33,32.82,9.5
INV-ABB9E6FD,A,New York,Normal,Female,Electronic accessories,101.95,7,35.68,749.33,2024-06-19,15:42,Cash,499.55,33.33,249.78,9.1
INV-27FD4793,B,Los Angeles,Normal,Female,Food and beverages,34.82,7,12.19,255.93,2024-10-08,10:29,Cash,170.62,33.33,85.31,5.9
INV-7B8C33A4,B,Los Angeles,Member,Female,Home and lifestyle,250.98,1,12.55,263.53,2024-12-02,18:29,Credit card,175.69,33.33,87.84,4.3
INV-D4717A2A,C,Chicago,Normal,Female,Sports and travel,124.46,1,6.22,130.68,2024-04-14,14:35,Cash,87.12,33.33,43.56,9.6
INV-04430C67,B,Los Angeles,Normal,Male,Electronic accessories,195.03,10,97.52,2047.82,2024-05-02,12:19,Ewallet,1365.21,33.33,682.61,4.1
INV-C129285B,B,Los Angeles,Member,Male,Electronic accessories,100.37,2,10.04,210.78,2024-11-27,12:31,Ewallet,140.52,33.33,70.26,5.8
INV-048D622B,C,Chicago,Normal,Female,Health and beauty,78.58,4,15.72,330.04,2024-08-21,18:09,Credit card,220.02,33.34,110.02,5.1
INV-F19A8F4B,C,Chicago,Member,Male,Food and beverages,39.77,7,13.92,292.31,2024-06-23,18:17,Cash,194.87,33.33,97.44,5.7
INV-44B04151,B,Los Angeles,Normal,Male,Health and beauty,46.78,6,14.03,294.71,2024-06-19,18:48,Ewallet,196.48,33.33,98.23,6.3
INV-78C16129,B,Los Angeles,Member,Male,Home and lifestyle,127.23,7,44.53,935.14,2024-01-23,15:47,Credit card,623.43,33.33,311.71,8.2
INV-7B329F73,B,Los Angeles,Normal,Male,Health and beauty,77.47,3,11.62,244.03,2024-09-14,19:21,Cash,162.69,33.33,81.34,9.2
INV-6276E8DD,B,Los Angeles,Member,Female,Electronic accessories,148.65,7,52.03,1092.58,2024-12-01,12:04,Credit card,728.38,33.33,364.2,8.7
INV-B7F33F90,B,Los Angeles,Normal,Female,Sports and travel,43.07,6,12.92,271.34,2024-12-11,18:24,Credit card,180.89,33.33,90.45,7.8
INV-60627E6B,B,Los Angeles,Member,Male,Fashion accessories,98.36,5,24.59,516.39,2024-04-26,11:27,Cash,344.26,33.33,172.13,8.6
INV-FED99A6E,C,Chicago,Member,Female,Fashion accessories,107.16,1,5.36,112.52,2024-01-24,15:50,Cash,75.01,33.34,37.51,5.8
INV-404FFBCD,B,Los Angeles,Normal,Male,Fashion accessories,84.36,10,42.18,885.78,2024-12-15,12:10,Cash,590.52,33.33,295.26,4.5
INV-AD5F9277,B,Los Angeles,Member,Female,Home and lifestyle,60.07,8,24.03,504.59,2024-11-22,14:29,Credit card,336.39,33.33,168.2,8.0
INV-6E413BE4,B,Los Angeles,Normal,Male,Electronic accessories,96.72,6,29.02,609.34,2024-10-27,14:40,Credit card,406.22,33.33,203.12,8.1
INV-E7CD9500,B,Los Angeles,Normal,Male,Health and beauty,69.44,2,6.94,145.82,2024-05-01,16:36,Credit card,97.22,33.33,48.6,7.4
INV-3064DAF8,C,Chicago,Normal,Male,Sports and travel,114.06,1,5.7,119.76,2024-10-16,20:49,Ewallet,79.84,33.33,39.92,9.8
INV-6BF75CC6,C,Chicago,Normal,Female,Fashion accessories,94.99,6,28.5,598.44,2024-04-22,20:12,Ewallet,398.96,33.33,199.48,5.5
INV-BDC081D9,C,Chicago,Member,Male,Sports and travel,170.43,5,42.61,894.76,2024-08-13,10:37,Credit card,596.5,33.33,298.26,8.4
INV-F559B847,A,New York,Normal,Female,Sports and travel,118.49,4,23.7,497.66,2024-03-08,18:56,Credit card,331.77,33.33,165.89,7.2
INV-30B10D68,B,Los Angeles,Member,Female,Health and beauty,77.65,5,19.41,407.66,2024-06-22,11:29,Cash,271.77,33.33,135.89,4.8
INV-0762C2FA,A,New York,Normal,Female,Electronic accessories,161.28,1,8.06,169.34,2024-05-15,18:07,Credit card,112.9,33.33,56.44,6.2
INV-813C1D5A,C,Chicago,Normal,Female,Sports and travel,236.57,2,23.66,496.8,2024-12-11,13:30,Cash,331.2,33.33,165.6,7.7
INV-D3DCBF28,C,Chicago,Normal,Male,Sports and travel,39.22,8,15.69,329.45,2024-12-24,14:41,Credit card,219.63,33.33,109.82,4.7
INV-BDA22CCC,A,New York,Member,Female,Health and beauty,16.36,4,3.27,68.71,2024-10-02,12:24,Credit card,45.81,33.33,22.9,6.2
INV-AADEF5E2,C,Chicago,Normal,Male,Health and beauty,55.15,8,22.06,463.26,2024-11-11,16:17,Cash,308.84,33.33,154.42,8.1
INV-820C1C7C,A,New York,Normal,Female,Fashion accessories,129.76,2,12.98,272.5,2024-12-17,15:34,Ewallet,181.66,33.34,90.84,6.2
INV-50B6FA28,B,Los Angeles,Normal,Male,Electronic accessories,190.57,8,76.23,1600.79,2024-02-16,20:13,Ewallet,1067.19,33.33,533.6,7.8
INV-24E8F3C1,A,New York,Member,Female,Fashion accessories,148.43,10,74.22,1558.52,2024-04-15,11:53,Ewallet,1039.01,33.33,519.51,5.2
INV-0BB9C767,A,New York,Member,Female,Fashion accessories,120.41,10,60.2,1264.3,2024-01-02,14:54,Cash,842.87,33.33,421.43,9.9
INV-040FF809,C,Chicago,Normal,Male,Electronic accessories,137.3,1,6.87,144.17,2024-03-08,10:22,Cash,96.11,33.34,48.06,7.5
INV-BAB8D59C,A,New York,Member,Female,Electronic accessories,38.45,7,13.46,282.61,2024-09-26,11:47,Cash,188.41,33.33,94.2,6.9
INV-FE7A1779,B,Los Angeles,Member,Female,Home and lifestyle,82.03,10,41.02,861.32,2024-01-23,20:33,Credit card,574.21,33.33,287.11,6.7
INV-343062C7,A,New York,Member,Female,Health and beauty,38.69,2,3.87,81.25,2024-09-08,17:04,Cash,54.17,33.33,27.08,5.9
INV-E2EF69EB,A,New York,Member,Male,Food and beverages,33.09,10,16.55,347.45,2024-10-07,15:24,Ewallet,231.63,33.33,115.82,7.2
INV-F498B6AF,B,Los Angeles,Normal,Male,Sports and travel,50.74,9,22.83,479.49,2024-04-20,16:28,Cash,319.66,33.33,159.83,6.5
INV-332C67D8,B,Los Angeles,Normal,Female,Sports and travel,46.39,7,16.24,340.97,2024-06-09,20:16,Credit card,227.31,33.33,113.66,9.7
